position_number,position_description,name,dob,nationality,value
18,Left-Back,Jordi Alba,"Mar 21, 1989 (31)",Spain,£36.00m
24,Left-Back,Júnior Firpo,"Aug 22, 1996 (24)",Spain / Dominican Republic,£18.00m
-,Left-Back,Juan Miranda,"Jan 19, 2000 (20)",Spain,£3.60m
2,Right-Back,Nélson Semedo,"Nov 16, 1993 (26)",Portugal,£36.00m
20,Right-Back,Sergi Roberto,"Feb 7, 1992 (28)",Spain,£36.00m
-,Right-Back,Moussa Wagué,"Oct 4, 1998 (21)",Senegal,£6.03m
5,Defensive Midfield,Sergio Busquets,"Jul 16, 1988 (32)",Spain,£25.20m
-,Defensive Midfield,Matheus Fernandes,"Jun 30, 1998 (22)",Brazil,£2.88m
-,Defensive Midfield,Oriol Busquets,"Jan 20, 1999 (21)",Spain,£2.07m
21,Central Midfield,Frenkie de Jong,"May 12, 1997 (23)",Netherlands,£64.80m
8,Central Midfield,Arthur,"Aug 12, 1996 (24)",Brazil,£50.40m
28,Central Midfield,Riqui Puig,"Aug 13, 1999 (21)",Spain,£22.50m
4,Central Midfield,Ivan Rakitic,"Mar 10, 1988 (32)",Croatia / Switzerland,£18.00m
-,Central Midfield,Carles Aleñá,"Jan 5, 1998 (22)",Spain,£16.20m
22,Central Midfield,Arturo Vidal,"May 22, 1987 (33)",Chile,£9.90m
-,Attacking Midfield,Rafinha,"Feb 12, 1993 (27)",Brazil / Spain,£8.55m
31,Left Winger,Ansu Fati,"Oct 31, 2002 (17)",Spain / Guinea-Bissau,£45.00m
-,Left Winger,Pedri,"Nov 25, 2002 (17)",Spain,£6.48m
10,Right Winger,Lionel Messi,"Jun 24, 1987 (33)",Argentina / Spain,£100.80m
11,Right Winger,Ousmane Dembélé,"May 15, 1997 (23)",France,£50.40m
-,Right Winger,Trincão,"Dec 29, 1999 (20)",Portugal,£22.50m
17,Second Striker,Antoine Griezmann,"Mar 21, 1991 (29)",France,£86.40m
9,Centre-Forward,Luis Suárez,"Jan 24, 1987 (33)",Uruguay / Italy,£25.20m
19,Centre-Forward,Martin Braithwaite,"Jun 5, 1991 (29)",Denmark / Guyana,£8.55m
13,Goalkeeper,Jan Oblak,"Jan 7, 1993 (27)",Slovenia,£72.00m
1,Goalkeeper,Ivo Grbic,"Jan 18, 1996 (24)",Croatia,£1.80m
2,Centre-Back,José Giménez,"Jan 20, 1995 (25)",Uruguay / Spain,£50.40m
15,Centre-Back,Stefan Savic,"Jan 8, 1991 (29)",Montenegro / Serbia,£22.95m
18,Centre-Back,Felipe,"May 16, 1989 (31)",Brazil,£22.95m
22,Centre-Back,Mario Hermoso,"Jun 18, 1995 (25)",Spain,£18.00m
-,Centre-Back,Nehuén Pérez,"Jun 24, 2000 (20)",Argentina,£6.75m
-,Centre-Back,Francisco Montero,"Jan 14, 1999 (21)",Spain,£6.03m
12,Left-Back,Renan Lodi,"Apr 8, 1998 (22)",Brazil,£45.00m
35,Left-Back,Manu Sánchez,"Aug 24, 2000 (20)",Spain,£7.20m
23,Right-Back,Kieran Trippier,"Sep 19, 1990 (29)",England,£25.20m
4,Right-Back,Santiago Arias,"Jan 13, 1992 (28)",Colombia,£10.80m
24,Right-Back,Sime Vrsaljko,"Jan 10, 1992 (28)",Croatia,£10.80m
5,Defensive Midfield,Thomas,"Jun 13, 1993 (27)",Ghana,£36.00m
8,Central Midfield,Saúl Ñíguez,"Nov 21, 1994 (25)",Spain,£64.80m
6,Central Midfield,Koke,"Jan 8, 1992 (28)",Spain,£43.20m
16,Central Midfield,Héctor Herrera,"Apr 19, 1990 (30)",Mexico / Portugal,£14.40m
38,Central Midfield,Toni Moya,"Mar 20, 1998 (22)",Spain,£270Th.
14,Attacking Midfield,Marcos Llorente,"Jan 30, 1995 (25)",Spain,£36.00m
11,Left Winger,Thomas Lemar,"Nov 12, 1995 (24)",France / Guadeloupe,£21.60m
20,Left Winger,Vitolo,"Nov 2, 1989 (30)",Spain,£13.05m
10,Right Winger,Ángel Correa,"Mar 9, 1995 (25)",Argentina / Spain,£28.80m
-,Right Winger,Víctor Mollejo,"Jan 21, 2001 (19)",Spain,£3.60m
32,Right Winger,Rodrigo Riquelme,"Apr 2, 2000 (20)",Spain,£2.07m
48,Right Winger,Germán Valera,"Mar 16, 2002 (18)",Spain / Lithuania,£1.62m
7,Second Striker,João Félix,"Nov 10, 1999 (20)",Portugal,£72.90m
9,Centre-Forward,Álvaro Morata,"Oct 23, 1992 (27)",Spain,£32.40m
19,Centre-Forward,Diego Costa,"Oct 7, 1988 (31)",Spain / Brazil,£13.05m
34,Centre-Forward,Sergio Camello,"Feb 10, 2001 (19)",Spain,£2.07m
17,Centre-Forward,Ivan Saponjic,"Aug 2, 1997 (23)",Serbia,£1.08m
1,Goalkeeper,Tomas Vaclík,"Mar 29, 1989 (31)",Czech Republic,£13.05m
-,Goalkeeper,Sergio Rico,"Sep 1, 1993 (26)",Spain,£7.20m
-,Goalkeeper,Juan Soriano,"Aug 23, 1997 (23)",Spain,£1.44m
31,Goalkeeper,Javi Díaz,"May 15, 1997 (23)",Spain,£360Th.
20,Centre-Back,Diego Carlos,"Mar 15, 1993 (27)",Brazil,£45.00m
12,Centre-Back,Jules Koundé,"Nov 12, 1998 (21)",France / Benin,£27.00m
-,Centre-Back,Joris Gnagnon,"Jan 13, 1997 (23)",France / Cote d'Ivoire,£4.32m
3,Centre-Back,Sergi Gómez,"Mar 28, 1992 (28)",Spain,£3.60m
18,Left-Back,Sergio Escudero,"Sep 2, 1989 (30)",Spain,£4.32m
-,Right-Back,Alejandro Pozo,"Feb 22, 1999 (21)",Spain,£4.05m
16,Right-Back,Jesús Navas,"Nov 21, 1985 (34)",Spain,£2.88m
2,Right-Back,Sébastien Corchia,"Nov 1, 1990 (29)",France / Italy,£1.44m
25,Defensive Midfield,Fernando Reges,"Jul 25, 1987 (33)",Brazil / Portugal,£7.20m
-,Defensive Midfield,Ibrahim Amadou,"Apr 6, 1993 (27)",France / Cameroon,£4.95m
17,Defensive Midfield,Nemanja Gudelj,"Nov 16, 1991 (28)",Serbia / Netherlands,£4.95m
24,Central Midfield,Joan Jordán,"Jul 6, 1994 (26)",Spain,£13.05m
21,Central Midfield,Óliver Torres,"Nov 10, 1994 (25)",Spain,£12.15m
10,Central Midfield,Éver Banega,"Jun 29, 1988 (32)",Argentina / Spain,£6.30m
-,Central Midfield,Roque Mesa,"Jun 7, 1989 (31)",Spain,£4.95m
-,Attacking Midfield,Óscar Rodríguez,"Jun 28, 1998 (22)",Spain,£13.50m
22,Attacking Midfield,Franco Vázquez,"Feb 22, 1989 (31)",Argentina / Italy,£8.55m
-,Left Winger,Bryan Gil,"Feb 11, 2001 (19)",Spain,£8.10m
5,Right Winger,Lucas Ocampos,"Jul 11, 1994 (26)",Argentina,£45.00m
14,Right Winger,Suso,"Nov 19, 1993 (26)",Spain,£15.75m
11,Right Winger,Munir El Haddadi,"Sep 1, 1995 (24)",Spain / Morocco,£8.10m
-,Right Winger,Aleix Vidal,"Aug 21, 1989 (31)",Spain,£3.15m
15,Centre-Forward,Youssef En-Nesyri,"Jun 1, 1997 (23)",Morocco,£10.80m
-,Centre-Forward,Carlos Fernández,"May 22, 1996 (24)",Spain,£9.00m
19,Centre-Forward,Luuk de Jong,"Aug 27, 1990 (30)",Netherlands,£8.55m
-,Centre-Forward,Marc Gual,"Mar 13, 1996 (24)",Spain,£990Th.
1,Goalkeeper,Álex Remiro,"Mar 24, 1995 (25)",Spain,£10.80m
-,Goalkeeper,Gerónimo Rulli,"May 20, 1992 (28)",Argentina / Italy,£7.20m
13,Goalkeeper,Miguel Ángel Moyá,"Apr 2, 1984 (36)",Spain,£1.08m
3,Centre-Back,Diego Llorente,"Aug 16, 1993 (27)",Spain,£18.00m
24,Centre-Back,Robin Le Normand,"Nov 11, 1996 (23)",France,£10.80m
6,Centre-Back,Aritz Elustondo,"Mar 28, 1994 (26)",Spain,£7.20m
15,Centre-Back,Modibo Sagnan,"Apr 14, 1999 (21)",France / Mali,£2.43m
12,Left-Back,Aihen Muñoz,"Aug 16, 1997 (23)",Spain,£3.60m
20,Left-Back,Nacho Monreal,"Feb 26, 1986 (34)",Spain,£2.88m
-,Left-Back,Kévin Rodrigues,"Mar 5, 1994 (26)",Portugal / France,£2.16m
2,Right-Back,Joseba Zaldua,"Jun 24, 1992 (28)",Spain,£10.80m
18,Right-Back,Andoni Gorosabel,"Aug 4, 1996 (24)",Spain,£1.44m
-,Right-Back,Alex Sola,"Jun 9, 1999 (21)",Spain,£405Th.
5,Defensive Midfield,Igor Zubeldia,"Mar 30, 1997 (23)",Spain,£21.60m
4,Defensive Midfield,Asier Illarramendi,"Mar 8, 1990 (30)",Spain,£13.05m
8,Central Midfield,Mikel Merino,"Jun 22, 1996 (24)",Spain,£31.50m
16,Central Midfield,Ander Guevara,"Jul 7, 1997 (23)",Spain,£5.40m
-,Central Midfield,Jon Guridi,"Feb 28, 1995 (25)",Spain,£900Th.
-,Central Midfield,Martín Zubimendi,"Feb 2, 1999 (21)",Spain,£225Th.
21,Attacking Midfield,David Silva,"Jan 8, 1986 (34)",Spain,£10.80m
23,Attacking Midfield,Luca Sangalli,"Feb 10, 1995 (25)",Spain,£2.16m
10,Left Winger,Mikel Oyarzabal,"Apr 21, 1997 (23)",Spain,£54.00m
22,Left Winger,Ander Barrenetxea,"Dec 27, 2001 (18)",Spain,£8.10m
-,Left Winger,Martín Merquelanz,"Jun 12, 1995 (25)",Spain,£1.80m
7,Right Winger,Portu,"May 21, 1992 (28)",Spain,£14.40m
11,Right Winger,Adnan Januzaj,"Feb 5, 1995 (25)",Belgium / Kosovo,£8.55m
9,Centre-Forward,Willian José,"Nov 23, 1991 (28)",Brazil / Spain,£21.60m
19,Centre-Forward,Alexander Isak,"Sep 21, 1999 (20)",Sweden / Eritrea,£20.25m
-,Centre-Forward,Jon Bautista,"Jul 3, 1995 (25)",Spain,£1.26m
13,Goalkeeper,Jasper Cillessen,"Apr 22, 1989 (31)",Netherlands,£10.80m
1,Goalkeeper,Jaume Doménech,"Nov 5, 1990 (29)",Spain,£5.40m
5,Centre-Back,Gabriel Paulista,"Nov 26, 1990 (29)",Brazil / Spain,£15.75m
12,Centre-Back,Mouctar Diakhaby,"Dec 19, 1996 (23)",France / Guinea,£13.50m
4,Centre-Back,Eliaquim Mangala,"Feb 13, 1991 (29)",France / Belgium,£5.40m
33,Centre-Back,Hugo Guillamón,"Jan 31, 2000 (20)",Spain,£4.50m
14,Left-Back,José Gayà,"May 25, 1995 (25)",Spain,£36.00m
-,Left-Back,Álex Centelles,"Aug 30, 1999 (21)",Spain,£4.50m
-,Left-Back,Toni Lato,"Nov 21, 1997 (22)",Spain,£1.44m
18,Right-Back,Daniel Wass,"May 31, 1989 (31)",Denmark,£9.90m
21,Right-Back,Cristiano Piccini,"Sep 26, 1992 (27)",Italy,£5.40m
2,Right-Back,Thierry Correia,"Mar 9, 1999 (21)",Portugal / Cape Verde,£2.43m
6,Central Midfield,Geoffrey Kondogbia,"Feb 15, 1993 (27)",Central African Republic / France,£20.25m
-,Central Midfield,Uros Racic,"Mar 17, 1998 (22)",Serbia,£5.40m
-,Central Midfield,Àlex Carbonell,"Sep 15, 1997 (22)",Spain,£293Th.
8,Right Midfield,Carlos Soler,"Jan 2, 1997 (23)",Spain,£36.00m
16,Attacking Midfield,Kang-in Lee,"Feb 19, 2001 (19)","Korea, South",£12.15m
7,Left Winger,Gonçalo Guedes,"Nov 29, 1996 (23)",Portugal,£20.25m
11,Left Winger,Denis Cheryshev,"Dec 26, 1990 (29)",Russia / Spain,£4.32m
15,Left Winger,Manu Vallejo,"Feb 14, 1997 (23)",Spain,£4.32m
-,Left Winger,Álex Blanco,"Dec 16, 1998 (21)",Spain,£405Th.
-,Right Winger,Jason,"Jul 6, 1994 (26)",Spain,£4.32m
22,Centre-Forward,Maxi Gómez,"Aug 14, 1996 (24)",Uruguay,£28.80m
9,Centre-Forward,Kévin Gameiro,"May 9, 1987 (33)",France,£5.85m
23,Centre-Forward,Rubén Sobrino,"Jun 1, 1992 (28)",Spain,£2.16m
1,Goalkeeper,Sergio Asenjo,"Jun 28, 1989 (31)",Spain,£8.55m
4,Centre-Back,Pau Torres,"Jan 16, 1997 (23)",Spain,£27.00m
6,Centre-Back,Ramiro Funes Mori,"Mar 5, 1991 (29)",Argentina,£4.32m
3,Centre-Back,Raúl Albiol,"Sep 4, 1985 (34)",Spain,£2.88m
22,Centre-Back,Soufiane Chakla,"Sep 2, 1993 (26)",Morocco / Spain,£720Th.
25,Left-Back,Alfonso Pedraza,"Apr 9, 1996 (24)",Spain,£8.55m
18,Left-Back,Alberto Moreno,"Jul 5, 1992 (28)",Spain,£5.40m
21,Left-Back,Jaume Costa,"Mar 18, 1988 (32)",Spain,£2.88m
20,Right-Back,Rubén Peña,"Jul 18, 1991 (29)",Spain,£5.85m
2,Right-Back,Mario Gaspar,"Nov 24, 1990 (29)",Spain,£5.40m
8,Defensive Midfield,Francis Coquelin,"May 13, 1991 (29)",France,£12.60m
5,Central Midfield,Dani Parejo,"Apr 16, 1989 (31)",Spain,£18.00m
14,Central Midfield,Manu Trigueros,"Oct 17, 1991 (28)",Spain,£10.80m
10,Central Midfield,Vicente Iborra,"Jan 16, 1988 (32)",Spain,£5.40m
15,Central Midfield,Manu Morlanes,"Jan 12, 1999 (21)",Spain,£1.62m
23,Left Winger,Moi Gómez,"Jun 23, 1994 (26)",Spain,£8.10m
24,Left Winger,Javi Ontiveros,"Sep 9, 1997 (22)",Spain,£6.30m
16,Right Winger,Takefusa Kubo,"Jun 4, 2001 (19)",Japan,£27.00m
11,Right Winger,Samu Chukwueze,"May 22, 1999 (21)",Nigeria,£24.30m
19,Right Winger,Dani Raba,"Oct 29, 1995 (24)",Spain,£1.44m
7,Centre-Forward,Gerard Moreno,"Apr 7, 1992 (28)",Spain,£27.00m
17,Centre-Forward,Paco Alcácer,"Aug 30, 1993 (27)",Spain,£25.20m
9,Centre-Forward,Carlos Bacca,"Sep 8, 1986 (33)",Colombia,£2.16m
34,Centre-Forward,Fer Niño,"Oct 24, 2000 (19)",Spain,£810Th.
1,Goalkeeper,Joel Robles,"Jun 17, 1990 (30)",Spain,£5.40m
13,Goalkeeper,Dani Martín,"Jul 8, 1998 (22)",Spain,£3.60m
5,Centre-Back,Marc Bartra,"Jan 15, 1991 (29)",Spain,£12.60m
23,Centre-Back,Aïssa Mandi,"Oct 22, 1991 (28)",Algeria / France,£10.80m
12,Centre-Back,Sidnei,"Aug 23, 1989 (31)",Brazil / Spain,£7.20m
15,Left-Back,Álex Moreno,"Jun 8, 1993 (27)",Spain,£9.00m
22,Right-Back,Emerson,"Jan 14, 1999 (21)",Brazil,£22.50m
-,Right-Back,Martín Montoya,"Apr 14, 1991 (29)",Spain,£5.85m
-,Right-Back,Francis Guerrero,"Mar 11, 1996 (24)",Spain,£2.16m
14,Defensive Midfield,William Carvalho,"Apr 7, 1992 (28)",Portugal / Angola,£14.40m
21,Defensive Midfield,Guido Rodríguez,"Apr 12, 1994 (26)",Argentina,£7.20m
-,Defensive Midfield,Edgar González,"Apr 1, 1997 (23)",Spain,£720Th.
-,Central Midfield,Víctor Camarasa,"May 28, 1994 (26)",Spain,£3.60m
18,Central Midfield,Andrés Guardado,"Sep 28, 1986 (33)",Mexico / Spain,£2.88m
-,Central Midfield,Wilfrid Kaptoum,"Jul 7, 1996 (24)",Cameroon,£2.16m
8,Attacking Midfield,Nabil Fekir,"Jul 18, 1993 (27)",France / Algeria,£28.80m
10,Attacking Midfield,Sergio Canales,"Feb 16, 1991 (29)",Spain,£18.00m
20,Left Winger,Diego Lainez,"Jun 9, 2000 (20)",Mexico,£5.40m
11,Left Winger,Cristian Tello,"Aug 11, 1991 (29)",Spain,£4.32m
-,Left Winger,Juanjo Narváez,"Feb 12, 1995 (25)",Colombia / Spain,£495Th.
7,Right Winger,Juanmi,"May 20, 1993 (27)",Spain,£3.60m
17,Right Winger,Joaquín,"Jul 21, 1981 (39)",Spain,£1.44m
-,Right Winger,Aitor Ruibal,"Mar 22, 1996 (24)",Spain,£1.35m
16,Centre-Forward,Loren Morón,"Dec 30, 1993 (26)",Spain,£14.40m
9,Centre-Forward,Borja Iglesias,"Jan 17, 1993 (27)",Spain,£10.80m
1,Goalkeeper,Unai Simón,"Jun 11, 1997 (23)",Spain,£27.00m
13,Goalkeeper,Iago Herrerín,"Jan 25, 1988 (32)",Spain,£2.52m
-,Goalkeeper,Jokin Ezkieta,"Aug 17, 1996 (24)",Spain,£270Th.
4,Centre-Back,Iñigo Martínez,"May 17, 1991 (29)",Spain,£22.95m
5,Centre-Back,Yeray Álvarez,"Jan 24, 1995 (25)",Spain,£21.60m
3,Centre-Back,Unai Núñez,"Jan 30, 1997 (23)",Spain,£14.40m
17,Left-Back,Yuri Berchiche,"Feb 10, 1990 (30)",Spain,£14.40m
24,Left-Back,Mikel Balenziaga,"Feb 29, 1988 (32)",Spain,£1.44m
-,Left-Back,Andoni López,"Apr 5, 1996 (24)",Spain,£360Th.
21,Right-Back,Ander Capa,"Feb 8, 1992 (28)",Spain,£5.40m
18,Right-Back,Óscar de Marcos,"Apr 14, 1989 (31)",Spain,£2.88m
15,Right-Back,Iñigo Lekue,"May 4, 1993 (27)",Spain,£1.44m
-,Defensive Midfield,Peru Nolaskoain,"Oct 25, 1998 (21)",Spain,£3.24m
16,Defensive Midfield,Mikel Vesga,"Apr 8, 1993 (27)",Spain,£2.16m
14,Central Midfield,Dani García,"May 24, 1990 (30)",Spain,£4.32m
8,Central Midfield,Unai López,"Oct 30, 1995 (24)",Spain,£2.16m
22,Attacking Midfield,Raúl García,"Jul 11, 1986 (34)",Spain,£5.40m
-,Attacking Midfield,Oihan Sancet,"Apr 25, 2000 (20)",Spain,£2.07m
10,Left Winger,Iker Muniain,"Dec 19, 1992 (27)",Spain,£12.60m
11,Left Winger,Iñigo Córdoba,"Mar 13, 1997 (23)",Spain,£2.88m
-,Left Winger,Iñigo Vicente,"Jan 6, 1998 (22)",Spain,£900Th.
19,Right Winger,Ibai Gómez,"Nov 11, 1989 (30)",Spain,£2.88m
12,Right Winger,Gaizka Larrazabal,"Dec 17, 1997 (22)",Spain,£1.80m
9,Centre-Forward,Iñaki Williams,"Jun 15, 1994 (26)",Spain / Ghana,£36.00m
25,Centre-Forward,Asier Villalibre,"Sep 30, 1997 (22)",Spain,£2.88m
23,Centre-Forward,Kenan Kodro,"Aug 19, 1993 (27)",Bosnia-Herzegovina / Spain,£720Th.
13,Goalkeeper,David Soria,"Apr 4, 1993 (27)",Spain,£13.05m
1,Goalkeeper,Leandro Chichizola,"Mar 27, 1990 (30)",Argentina / Italy,£1.08m
-,Goalkeeper,Rubén Yáñez,"Oct 12, 1993 (26)",Spain,£270Th.
-,Goalkeeper,Filip Manojlovic,"Apr 25, 1996 (24)",Serbia,£180Th.
2,Centre-Back,Djené,"Dec 31, 1991 (28)",Togo,£21.60m
4,Centre-Back,Erick Cabaco,"Apr 19, 1995 (25)",Uruguay / Italy,£3.60m
16,Centre-Back,Xabi Etxeita,"Oct 31, 1987 (32)",Spain,£1.26m
-,Centre-Back,Ignasi Miquel,"Sep 28, 1992 (27)",Spain,£1.08m
6,Centre-Back,Chema,"Mar 3, 1992 (28)",Spain,£1.08m
17,Left-Back,Mathí­as Olivera,"Oct 31, 1997 (22)",Uruguay / Spain,£1.44m
12,Right-Back,Allan Nyom,"May 10, 1988 (32)",Cameroon / France,£2.88m
22,Right-Back,Damián Suárez,"Apr 27, 1988 (32)",Uruguay / Spain,£2.88m
24,Defensive Midfield,David Timor,"Oct 17, 1989 (30)",Spain,£1.44m
18,Central Midfield,Mauro Arambarri,"Sep 30, 1995 (24)",Uruguay,£18.00m
20,Central Midfield,Nemanja Maksimovic,"Jan 26, 1995 (25)",Serbia,£18.00m
21,Central Midfield,Fayçal Fajr,"Aug 1, 1988 (32)",Morocco / France,£2.88m
15,Left Midfield,Marc Cucurella,"Jul 22, 1998 (22)",Spain,£16.20m
11,Left Winger,Amath Ndiaye,"Jul 16, 1996 (24)",Senegal,£2.16m
8,Right Winger,Francisco Portillo,"Jun 13, 1990 (30)",Spain,£2.52m
-,Right Winger,Álvaro Jiménez,"May 19, 1995 (25)",Spain,£360Th.
-,Centre-Forward,Enes Ünal,"May 10, 1997 (23)",Turkey,£7.20m
7,Centre-Forward,Jaime Mata,"Oct 24, 1988 (31)",Spain,£7.20m
-,Centre-Forward,Cucho Hernández,"Apr 22, 1999 (21)",Colombia,£6.03m
9,Centre-Forward,Ángel Rodríguez,"Apr 26, 1987 (33)",Spain,£5.40m
-,Centre-Forward,Jack Harper,"Feb 28, 1996 (24)",Scotland / Spain,£720Th.
13,Goalkeeper,Rubén Blanco,"Jul 25, 1995 (25)",Spain,£7.20m
1,Goalkeeper,Sergio Álvarez,"Aug 3, 1986 (34)",Spain,£1.08m
25,Goalkeeper,Iván Villar,"Jul 9, 1997 (23)",Spain,£270Th.
4,Centre-Back,Néstor Araújo,"Aug 29, 1991 (29)",Mexico,£8.10m
18,Centre-Back,Joseph Aidoo,"Sep 29, 1995 (24)",Ghana,£5.85m
-,Centre-Back,David Costas,"Mar 26, 1995 (25)",Spain,£1.44m
16,Centre-Back,Jorge Sáenz,"Nov 17, 1996 (23)",Spain,£1.44m
15,Left-Back,Lucas Olaza,"Jul 21, 1994 (26)",Uruguay,£2.88m
17,Left-Back,David Juncà,"Nov 16, 1993 (26)",Spain,£1.08m
2,Right-Back,Hugo Mallo,"Jun 22, 1991 (29)",Spain,£6.30m
20,Right-Back,Kevin Vázquez,"Mar 23, 1993 (27)",Spain,£720Th.
5,Defensive Midfield,Okay Yokuslu,"Mar 9, 1994 (26)",Turkey,£5.40m
14,Defensive Midfield,Renato Tapia,"Jul 28, 1995 (25)",Peru / Netherlands,£2.16m
8,Central Midfield,Fran Beltrán,"Feb 3, 1999 (21)",Spain,£12.15m
-,Central Midfield,Jozabed Sánchez,"Mar 8, 1991 (29)",Spain,£1.08m
6,Attacking Midfield,Denis Suárez,"Jan 6, 1994 (26)",Spain,£8.55m
-,Attacking Midfield,Miguel Baeza,"Mar 27, 2000 (20)",Spain,£90Th.
11,Left Winger,Pione Sisto,"Feb 4, 1995 (25)",Denmark / Southern Sudan,£4.32m
-,Left Winger,Álvaro Vadillo,"Sep 12, 1994 (25)",Spain,£2.16m
3,Left Winger,Nolito,"Oct 15, 1986 (33)",Spain,£1.44m
23,Right Winger,Brais Méndez,"Jan 7, 1997 (23)",Spain,£10.80m
-,Right Winger,Emre Mor,"Jul 24, 1997 (23)",Turkey / Denmark,£720Th.
10,Centre-Forward,Iago Aspas,"Aug 1, 1987 (33)",Spain,£14.40m
22,Centre-Forward,Santi Mina,"Dec 7, 1995 (24)",Spain,£13.05m
19,Centre-Forward,Gabriel Fernández,"May 13, 1994 (26)",Uruguay,£2.16m
13,Goalkeeper,Aitor Fernández,"May 3, 1991 (29)",Spain,£9.00m
1,Goalkeeper,Koke Vegas,"Sep 27, 1995 (24)",Spain,£495Th.
-,Goalkeeper,Dani Cárdenas,"Mar 28, 1997 (23)",Spain,£180Th.
14,Centre-Back,Rúben Vezo,"Apr 25, 1994 (26)",Portugal / Cape Verde,£4.32m
15,Centre-Back,Sergio Postigo,"Nov 4, 1988 (31)",Spain,£1.44m
4,Centre-Back,Rober Pier,"Feb 16, 1995 (25)",Spain,£1.08m
6,Centre-Back,Óscar Duarte,"Jun 3, 1989 (31)",Costa Rica / Spain,£653Th.
-,Centre-Back,Fran Manzanara,"Sep 12, 1996 (23)",Spain,£270Th.
19,Left-Back,Carlos Clerc,"Feb 21, 1992 (28)",Spain,£1.80m
-,Left-Back,Antonio Luna,"Mar 17, 1991 (29)",Spain,£855Th.
3,Left-Back,Toño,"Nov 7, 1989 (30)",Spain,£653Th.
20,Right-Back,Jorge Miramón,"Jun 2, 1989 (31)",Spain,£2.52m
23,Right-Back,Coke,"Apr 26, 1987 (33)",Spain,£1.08m
-,Right-Back,Son,"Mar 30, 1994 (26)",Spain,£495Th.
